Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.750000,-75.037500,-90.000000,top
"C2","10u 16v","CP_Radial_D4.0mm_P2.00mm",135.700000,-86.300000,-90.000000,top
"C3","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",141.520000,-75.142500,-90.000000,top
"C4","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.200000,-87.512500,-90.000000,top
"C5","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.637500,-80.000000,180.000000,top
"C6","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",140.637500,-82.000000,180.000000,top
"C7","0u1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",147.487500,-85.900000,180.000000,top
"C8","10u 16v","CP_Radial_D4.0mm_P2.00mm",161.000000,-84.500000,90.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",131.500000,-80.500000,0.000000,top
"J2","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical",149.270000,-74.530000,-90.000000,top
"J3","Conn_01x04_Socket","PinHeader_1x04_P2.54mm_Vertical",162.600000,-71.120000,0.000000,top
"J4","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",162.560000,-88.900000,0.000000,top
"J5","Conn_01x03_Male","PinHeader_1x03_P1.00mm_Vertical",141.900000,-94.800000,90.000000,top
"Q1","DMN2053UVT","TSOT-23-6",157.737500,-79.050000,0.000000,top
"Q2","DMN2053UVT","TSOT-23-6",157.800000,-73.000000,0.000000,top
"R1","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",140.807500,-78.105000,180.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",155.200000,-82.887500,90.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.000000,-82.887500,90.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.887500,-72.100000,180.000000,top
"R5","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.487500,-89.200000,180.000000,top
"R6","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.875000,-74.400000,180.000000,top
"R7","100R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",147.487500,-87.700000,0.000000,top
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",153.875000,-78.100000,180.000000,top
"RV1","100k","PinHeader_1x03_P1.27mm_Vertical",151.400000,-91.100000,0.000000,top
"RV2","100k","PinHeader_1x03_P1.27mm_Vertical",154.500000,-91.100000,0.000000,top
"RV3","100k","PinHeader_1x03_P1.27mm_Vertical",157.600000,-91.100000,0.000000,top
"SW1","SW_SPST","PinHeader_1x02_P2.54mm_Vertical",135.750000,-80.475000,0.000000,top
"SW2","SW_Push","PinHeader_1x02_P1.27mm_Vertical",143.887500,-85.800000,0.000000,top
"U1","MIC5365-3.3YC5","SOT-353_SC-70-5",138.720000,-74.605000,0.000000,top
"U2","STM32L010F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",146.737500,-80.905000,0.000000,top
